#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef90_Q48558	0.5	0.5	471.666587917	17.4913771965
UniRef50_F4AGL9	0.0789473684211	0.0789473684211	388.866386439	14.593809524
UniRef90_Q7WTB1	0.5	0.5	353.940202445	15.3985808657
UniRef90_D6S585	0.105263157895	0.105263157895	373.195343964	14.6275367971
UniRef90_D6S586	0.105263157895	0.105263157895	872.601402587	16.9312403263
UniRef90_D6S587	0.105263157895	0.105263157895	484.329972277	16.167879382
UniRef90_F0NS62	0.447368421053	0.447368421053	464.797434212	17.2856383244
UniRef90_C4VP87	0.157894736842	0.157894736842	330.651849231	14.179120818
UniRef90_C4VP88	0.184210526316	0.184210526316	567.929592332	17.4019167989
UniRef90_C7Y612	0.236842105263	0.236842105263	365.916844652	15.2114725636
UniRef90_C7Y613	0.289473684211	0.289473684211	420.16233166	16.4070812863
SRS047335.2782	0.131578947368	0.131578947368	402.330338602	15.3885991046
UniRef90_C7Y616	0.289473684211	0.289473684211	342.160142699	14.847479863
UniRef90_C7Y617	0.342105263158	0.342105263158	398.871470695	16.1464519189
UniRef90_C7Y614	0.157894736842	0.157894736842	399.554128929	15.585629447
UniRef90_C7Y619	0.263157894737	0.263157894737	337.30404035	14.63231113
UniRef90_U2HXK6	0.157894736842	0.157894736842	366.611253796	14.9695144107
UniRef90_D5H2B2	0.421052631579	0.421052631579	340.61444983	14.9741284481
UniRef90_D5H2B1	0.473684210526	0.473684210526	322.755763743	14.5303187671
UniRef90_D5H2B0	0.5	0.5	337.912952991	15.023482079
UniRef90_D5H2B7	0.5	0.5	334.81012676	14.9214953662
UniRef90_D5H2B5	0.5	0.5	363.864487624	15.6177814756
UniRef90_D5H2B4	0.473684210526	0.473684210526	321.937113547	14.5104019109
UniRef90_D5H2B9	0.526315789474	0.526315789474	399.705718815	16.4118691239
UniRef90_D5H2B8	0.5	0.5	327.086442143	14.7058833157
UniRef90_C8PBB1	0.0789473684211	0.0789473684211	807.091068802	16.4996525138
UniRef90_E3BSV5	0.263157894737	0.263157894737	457.136757299	16.8489893017
UniRef90_E3BSV7	0.263157894737	0.263157894737	472.849733627	17.0245229875
UniRef90_E3BSV6	0.263157894737	0.263157894737	457.136757299	16.8489893017
UniRef90_E3BSV1	0.289473684211	0.289473684211	454.026871063	16.9137559497
UniRef90_E3BSV0	0.263157894737	0.263157894737	455.694832565	16.8271089058
UniRef90_D7V584	0.157894736842	0.157894736842	343.592120813	14.4941537932
UniRef90_E3BSV2	0.289473684211	0.289473684211	473.468517727	17.1406203115
UniRef90_E3BSV9	0.289473684211	0.289473684211	611.912407237	17.8712278895
UniRef90_E6LSQ5	0.289473684211	0.289473684211	675.723712847	17.988366846
UniRef90_D6S639	0.263157894737	0.263157894737	334.730787864	14.5681475838
UniRef90_C7Y3C0	0.263157894737	0.263157894737	374.231647596	15.4291274008
UniRef90_E3C0W9	0.263157894737	0.263157894737	413.149399975	16.1999864027
UniRef90_E1KUB9	0.0526315789474	0.0526315789474	1891.34969077	15.9342228887
UniRef90_D7V5S5	0.157894736842	0.157894736842	405.770690585	15.6852623633
UniRef90_D6T003	0.0526315789474	0.0526315789474	663.472708671	15.7548725102
UniRef90_C7XJX9	0.5	0.5	492.627471606	17.697609916
UniRef90_U6F9H6	0.105263157895	0.105263157895	579.682643092	16.6342131147
