#Centroids	ppanini_score	alpha_prevalence	beta_prevalence	mean_abundance
UniRef90_E3RAL6	{'VAGINA': 11.970679179546265}	{'VAGINA': 0.07894736842105263}	0.0789473684211	263.746830385
SRS016111.914	{'VAGINA': 8.3106441522281873}	{'VAGINA': 0.02631578947368421}	0.0263157894737	190.380816988
UniRef90_F0NS62	{'VAGINA': 17.285638324396725}	{'VAGINA': 0.4473684210526316}	0.447368421053	464.797434212
UniRef50_C2EV82	{'VAGINA': 0.62993491462777307}	{'VAGINA': 0.02631578947368421}	0.0263157894737	5.60368871573
UniRef90_C7Y612	{'VAGINA': 15.21147256357508}	{'VAGINA': 0.23684210526315788}	0.236842105263	365.916844652
UniRef90_C7Y613	{'VAGINA': 16.407081286317169}	{'VAGINA': 0.2894736842105263}	0.289473684211	420.16233166
UniRef50_S4HGT7	{'VAGINA': 5.2674264115155918}	{'VAGINA': 0.02631578947368421}	0.0263157894737	59.7703657418
UniRef90_C7Y616	{'VAGINA': 14.84747986296926}	{'VAGINA': 0.2894736842105263}	0.289473684211	342.160142699
UniRef90_C7Y617	{'VAGINA': 16.146451918885671}	{'VAGINA': 0.34210526315789475}	0.342105263158	398.871470695
UniRef90_C7Y614	{'VAGINA': 15.585629447006374}	{'VAGINA': 0.15789473684210525}	0.157894736842	399.554128929
UniRef90_UPI000401657A	{'VAGINA': 0.8340256623261626}	{'VAGINA': 0.02631578947368421}	0.0263157894737	8.56459835936
UniRef90_C7Y619	{'VAGINA': 14.632311129988196}	{'VAGINA': 0.2631578947368421}	0.263157894737	337.30404035
UniRef50_UPI0004A42481	{'VAGINA': 5.8619620809459176}	{'VAGINA': 0.02631578947368421}	0.0263157894737	84.7182094042
UniRef50_C2EM87	{'VAGINA': 11.418472844821368}	{'VAGINA': 0.02631578947368421}	0.0263157894737	2239.92010037
UniRef90_Q9PQP5	{'VAGINA': 5.3278015699814425}	{'VAGINA': 0.02631578947368421}	0.0263157894737	62.3650990776
UniRef50_A0A076ZC80	{'VAGINA': 9.3432933410386063}	{'VAGINA': 0.02631578947368421}	0.0263157894737	289.156798762
UniRef90_D1W6I3	{'VAGINA': 1.4300946796689784}	{'VAGINA': 0.02631578947368421}	0.0263157894737	12.5340112832
UniRef90_D1W6I2	{'VAGINA': 1.2663676366793859}	{'VAGINA': 0.02631578947368421}	0.0263157894737	11.3038828549
UniRef90_D1W6I0	{'VAGINA': 0.98285722822241262}	{'VAGINA': 0.02631578947368421}	0.0263157894737	9.51241927741
UniRef50_U2HZH6	{'VAGINA': 0.94962089924743798}	{'VAGINA': 0.02631578947368421}	0.0263157894737	9.33056918666
UniRef90_I1YT91	{'VAGINA': 9.5879613532803933}	{'VAGINA': 0.02631578947368421}	0.0263157894737	308.406795314
UniRef90_F2KYX4	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef90_K1MZR1	{'VAGINA': 10.870441588906314}	{'VAGINA': 0.05263157894736842}	0.0526315789474	214.897013517
UniRef50_F9MMF5	{'VAGINA': 3.1146639646353305}	{'VAGINA': 0.02631578947368421}	0.0263157894737	22.9827760413
UniRef90_C2ETW4	{'VAGINA': 3.7393599256177312}	{'VAGINA': 0.02631578947368421}	0.0263157894737	26.73220924
UniRef90_C2ETW2	{'VAGINA': 3.8882897070084561}	{'VAGINA': 0.02631578947368421}	0.0263157894737	27.8205044556
UniRef90_D7V5S5	{'VAGINA': 15.685262363251748}	{'VAGINA': 0.15789473684210525}	0.157894736842	405.770690585
UniRef90_D6S2I4	{'VAGINA': 15.893340759554505}	{'VAGINA': 0.10526315789473684}	0.105263157895	455.125810144
UniRef90_C2ETW9	{'VAGINA': 3.9779684337765908}	{'VAGINA': 0.02631578947368421}	0.0263157894737	28.5405645709
UniRef90_W4JIF9	{'VAGINA': 13.280251615454496}	{'VAGINA': 0.5}	0.5	276.222339041
UniRef90_C4VKX1	{'VAGINA': 6.8653564987733935}	{'VAGINA': 0.05263157894736842}	0.0526315789474	84.8236555011
UniRef50_F1T4V0	{'VAGINA': 8.0622374767975415}	{'VAGINA': 0.02631578947368421}	0.0263157894737	178.404695354
UniRef90_I4LFB9	{'VAGINA': 7.2077224315102635}	{'VAGINA': 0.02631578947368421}	0.0263157894737	139.079549068
UniRef90_Q9PPR6	{'VAGINA': 6.7324614922496266}	{'VAGINA': 0.02631578947368421}	0.0263157894737	121.515323914
UniRef90_Q9PPR8	{'VAGINA': 9.1806539266508782}	{'VAGINA': 0.05263157894736842}	0.0526315789474	152.44070731
UniRef90_C4VQQ3	{'VAGINA': 15.947828840284135}	{'VAGINA': 0.13157894736842105}	0.131578947368	434.520365061
UniRef90_D1W0S5	{'VAGINA': 2.3301085321552217}	{'VAGINA': 0.02631578947368421}	0.0263157894737	17.9922998632
UniRef50_Q04939	{'VAGINA': 2.47508022830826}	{'VAGINA': 0.02631578947368421}	0.0263157894737	18.842314474
UniRef50_P17388	{'VAGINA': 6.6694315439348841}	{'VAGINA': 0.02631578947368421}	0.0263157894737	118.355839608
UniRef50_C8WG73	{'VAGINA': 1.825987469556682}	{'VAGINA': 0.02631578947368421}	0.0263157894737	14.7959290457
UniRef50_C8WG76	{'VAGINA': 2.1334910066019481}	{'VAGINA': 0.02631578947368421}	0.0263157894737	16.7575105479
UniRef90_D1W0S8	{'VAGINA': 1.4854468528307474}	{'VAGINA': 0.02631578947368421}	0.0263157894737	12.8903927292
UniRef90_Q59SR2	{'VAGINA': 6.0152065548824414}	{'VAGINA': 0.02631578947368421}	0.0263157894737	91.5382032967
UniRef90_C4VNH1	{'VAGINA': 16.644919450545153}	{'VAGINA': 0.2894736842105263}	0.289473684211	432.83058517
UniRef90_F2KZN7	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef90_C7XM54	{'VAGINA': 16.503402408829267}	{'VAGINA': 0.5}	0.5	407.212912193
UniRef90_D2Q6G2	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef50_F0HM42	{'VAGINA': 3.9309467427328104}	{'VAGINA': 0.02631578947368421}	0.0263157894737	28.1403784605
UniRef50_E4SL39	{'VAGINA': 14.404728586760845}	{'VAGINA': 0.15789473684210525}	0.157894736842	339.115566667
UniRef90_S4GDV2	{'VAGINA': 6.8554347891719605}	{'VAGINA': 0.05263157894736842}	0.0526315789474	84.6013419435
