#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef90_E3RAL6	0.0789473684211	0.0789473684211	263.746830385	11.9706791795
SRS016111.914	0.0263157894737	0.0263157894737	190.380816988	8.31064415223
UniRef90_F0NS62	0.447368421053	0.447368421053	464.797434212	17.2856383244
UniRef50_C2EV82	0.0263157894737	0.0263157894737	5.60368871573	0.629934914628
UniRef90_C7Y612	0.236842105263	0.236842105263	365.916844652	15.2114725636
UniRef90_C7Y613	0.289473684211	0.289473684211	420.16233166	16.4070812863
UniRef90_I0TEY8	0.0	0.0	0.0	0.230797315623
UniRef90_C7Y616	0.289473684211	0.289473684211	342.160142699	14.847479863
UniRef90_C7Y617	0.342105263158	0.342105263158	398.871470695	16.1464519189
UniRef90_C7Y614	0.157894736842	0.157894736842	399.554128929	15.585629447
UniRef90_UPI000401657A	0.0263157894737	0.0263157894737	8.56459835936	0.834025662326
UniRef90_C7Y619	0.263157894737	0.263157894737	337.30404035	14.63231113
UniRef50_UPI0004A42481	0.0263157894737	0.0263157894737	84.7182094042	5.86196208095
UniRef50_C2EM87	0.0263157894737	0.0263157894737	2239.92010037	11.4184728448
UniRef90_Q9PQP5	0.0263157894737	0.0263157894737	62.3650990776	5.32780156998
UniRef50_A0A076ZC80	0.0263157894737	0.0263157894737	289.156798762	9.34329334104
UniRef90_D1W6I3	0.0263157894737	0.0263157894737	12.5340112832	1.43009467967
UniRef90_D1W6I2	0.0263157894737	0.0263157894737	11.3038828549	1.26636763668
UniRef90_D1W6I0	0.0263157894737	0.0263157894737	9.51241927741	0.982857228222
UniRef50_U2HZH6	0.0263157894737	0.0263157894737	9.33056918666	0.949620899247
UniRef90_I1YT91	0.0263157894737	0.0263157894737	308.406795314	9.58796135328
UniRef90_F2KYX4	0.0	0.0	0.0	0.230797315623
UniRef90_K1MZR1	0.0526315789474	0.0526315789474	214.897013517	10.8704415889
UniRef50_F9MMF5	0.0263157894737	0.0263157894737	22.9827760413	3.11466396464
UniRef90_C2ETW4	0.0263157894737	0.0263157894737	26.73220924	3.73935992562
UniRef90_C2ETW2	0.0263157894737	0.0263157894737	27.8205044556	3.88828970701
UniRef90_D7V5S5	0.157894736842	0.157894736842	405.770690585	15.6852623633
UniRef90_D6S2I4	0.105263157895	0.105263157895	455.125810144	15.8933407596
UniRef90_C2ETW9	0.0263157894737	0.0263157894737	28.5405645709	3.97796843378
UniRef90_W4JIF9	0.5	0.5	276.222339041	13.2802516155
UniRef90_C4VKX1	0.0526315789474	0.0526315789474	84.8236555011	6.86535649877
UniRef50_F1T4V0	0.0263157894737	0.0263157894737	178.404695354	8.0622374768
UniRef90_I4LFB9	0.0263157894737	0.0263157894737	139.079549068	7.20772243151
UniRef90_Q9PPR6	0.0263157894737	0.0263157894737	121.515323914	6.73246149225
UniRef90_Q9PPR8	0.0526315789474	0.0526315789474	152.44070731	9.18065392665
UniRef90_C4VQQ3	0.131578947368	0.131578947368	434.520365061	15.9478288403
