Centroids	Abundance	Prevalence
SRS015996.8622-T1-C	0.386755658166	1
SRS015996.14733-T1-C	0.0392045454546	1
SRS015996.9621-T1-C	0.0513148543	1
SRS015996.6899-T1-C	0.039789196311	1
SRS015996.18335-T1-C	0.0509971509972	1
SRS015996.10431-T1-C	0.053023255814	1
SRS011132.256-T1-C	0.0531188385434	2
UniRef90_D4HAP6	0.0536727272728	1
SRS019597.981-T1-C	0.0374337221634	1
SRS015996.7980-T1-C	0.0842832469776	1
SRS015996.17002-T1-C	0.0409448818898	1
SRS015996.2925-T1-C	0.0299145299146	1
SRS015996.13105-T1-C	0.0231578947368	1
SRS015996.10950-T1-C	0.0283185840708	1
SRS015996.1711-T1-C	0.0330434782608	1
SRS015996.5628-T1-C	0.0193333333333	1
SRS015996.10469-T1-C	0.0268518518518	1
SRS015996.9497-T1-C	0.0635467980296	1
SRS015996.13501-T1-C	0.0548494983278	1
SRS015996.6784-T1-C	0.0256926952142	1
SRS015996.16659-T1-C	0.0548523206752	1
SRS015996.16644-T1-C	0.0871035940804	1
SRS015996.9301-T1-C	0.0197268588771	1
SRS015996.16998-T1-C	0.0331360946746	1
SRS015996.19350-T1-C	0.0442211055276	1
SRS015996.17503-T1-C	0.0901960784314	1
SRS019597.483-T1-C	0.0629154671552	1
SRS015996.6853-T1-C	0.0980112408128	1
SRS015996.11570-T1-C	0.094214876033	1
SRS015996.7822-T1-C	0.0258527827648	1
SRS015996.2289-T1-C	0.147680890538	1
SRS015996.16970-T1-C	0.034126984127	1
SRS015996.19600-T1-C	0.0372972972972	1
SRS015996.2329-T1-C	0.0344827586206	1
SRS015996.20434-T1-C	0.134580320907	1
SRS015996.4331-T1-C	0.0276470588236	1
SRS015996.18262-T1-C	0.0580174927114	1
SRS015996.13494-T1-C	0.0248322147652	1
SRS015996.19614-T1-C	0.0520572450806	1
SRS015996.13203-T1-C	0.0465277777778	1
SRS015996.6758-T1-C	0.0212860310422	1
SRS015996.13874-T1-C	0.0275641025642	1
SRS015996.18885-T1-C	0.0302884615384	1
SRS015996.247-T1-C	0.0192926045016	1
SRS015996.17592-T1-C	0.0335078534032	1
SRS015996.12858-T1-C	0.0244604316546	1
UniRef90_D4HEQ0	0.0569854782174	1
SRS015996.19695-T1-C	0.0471698113208	1
SRS056210.58-T1-C	0.109653725907	4
SRS015996.13644-T1-C	0.0943894389438	1
SRS015996.5595-T1-C	0.104126984127	1
SRS019597.146-T1-C	0.0776497118516	1
SRS015996.20115-T1-C	0.0657569850552	1
SRS019597.1248-T1-C	0.019298245614	1
SRS015996.13091-T1-C	0.0764912280702	1
SRS015996.2681-T1-C	0.0451612903226	1
SRS015996.9864-T1-C	0.0532019704434	1
SRS015996.7328-T1-C	0.0415178571428	1
SRS015996.9505-T1-C	0.0513106525376	1
SRS015996.6051-T1-C	0.0412213740458	1
SRS019597.538-T1-C	0.0451628015928	1
SRS015996.13619-T1-C	0.0310231023102	1
SRS015996.426-T1-C	0.0203539823008	1
SRS015996.20130-T1-C	0.0441725692208	1
SRS015996.12030-T1-C	0.0407843137254	1
SRS015996.5910-T1-C	0.144642857143	1
SRS015996.17757-T1-C	0.0414023372288	1
SRS015996.185-T1-C	0.0238095238096	1
SRS015996.1454-T1-C	0.0523917995444	1
SRS015996.5629-T1-C	0.0312849162012	1
SRS015996.16104-T1-C	0.0412993039444	1
SRS015996.9861-T1-C	0.165517241379	1
SRS015996.11735-T1-C	0.180566801619	1
SRS015996.5040-T1-C	0.0239912758996	1
SRS015996.16084-T1-C	0.0400932400932	1
SRS015996.12514-T1-C	0.044776119403	1
SRS015996.3718-T1-C	0.0227513227514	1
SRS015996.3520-T1-C	0.171994342291	1
SRS015996.7753-T1-C	0.051627218935	1
SRS015996.1255-T1-C	0.038418079096	1
SRS015996.12219-T1-C	0.0561538461538	1
SRS015996.8450-T1-C	0.0504761904762	1
SRS015996.464-T1-C	0.0949275362318	1
SRS015996.939-T1-C	0.194706657387	1
SRS015996.15047-T1-C	0.119565217391	1
SRS015996.15860-T1-C	0.0236144578314	1
SRS015996.12900-T1-C	0.036559139785	1
SRS015996.10219-T1-C	0.0209523809524	1
SRS015996.12625-T1-C	0.0457292916487	2
SRS015996.19028-T1-C	0.0626006904488	1
SRS015996.8660-T1-C	0.0629421487604	1
SRS019597.2715-T1-C	0.059042849193	1
SRS056210.6-T1-C	0.015	1
SRS015996.3441-T1-C	0.0990049751244	1
SRS015996.1678-T1-C	0.13986013986	1
SRS015996.4994-T1-C	0.182639166795	1
SRS015996.3845-T1-C	0.0206611570248	1
SRS011132.233-T1-C	0.0445471923537	2
SRS019597.826-T1-C	0.0382884134482	1
SRS011132.289-T1-C	0.0165853658537	1
SRS019597.1466-T1-C	0.0152671755725	1
SRS015996.12333-T1-C	0.0692015209126	1
SRS015996.17806-T1-C	0.0269736842106	1
SRS015996.14706-T1-C	0.154285714286	1
SRS015996.15095-T1-C	0.0875675675676	1
SRS015996.6029-T1-C	0.0248624862486	1
SRS015996.14716-T1-C	0.0780626780626	1
SRS019597.515-T1-C	0.034955972753	1
SRS015996.20209-T1-C	0.0492456246228	1
SRS015996.7021-T1-C	0.0299145299146	1
SRS015996.20375-T1-C	0.0588383588209	2
SRS019597.425-T1-C	0.0380748479918	1
SRS015996.9713-T1-C	0.0228855721394	1
SRS015996.15663-T1-C	0.034328358209	1
SRS015996.7732-T1-C	0.082392026578	1
UniRef90_U7K9H5	0.0530973451328	1
SRS019597.77-T1-C	0.0534678065286	1
SRS015996.10298-T1-C	0.167967587881	1
SRS015996.17151-T1-C	0.0473282442748	1
SRS015996.17478-T1-C	0.0550983899822	1
SRS019597.2195-T1-C	0.046398503274	1
SRS015996.9479-T1-C	0.0538080641358	1
SRS015996.9075-T1-C	0.1	1
SRS015996.5792-T1-C	0.133427362482	1
SRS015996.20077-T1-C	0.0536320434488	1
SRS015996.7119-T1-C	0.0316504854368	1
SRS019597.2114-T1-C	0.0412391093902	1
SRS019597.3173-T1-C	0.0433357116754	1
SRS015996.11377-T1-C	0.0436974789916	1
SRS019597.1192-T1-C	0.014479638009	1
SRS015996.11581-T1-C	0.0288065843622	1
SRS015996.17242-T1-C	0.029268292683	1
SRS015996.2273-T1-C	0.0327485380116	1
SRS015996.16078-T1-C	0.0270396270396	1
SRS015996.11437-T1-C	0.0150627615063	1
SRS015996.12447-T1-C	0.0443609022556	1
SRS015996.13909-T1-C	0.0292993630574	1
SRS019597.2419-T1-C	0.0425947334618	1
SRS019597.1020-T1-C	0.0149253731343	1
SRS015996.16398-T1-C	0.0486725663716	1
SRS015996.9432-T1-C	0.0411616161616	1
SRS015996.7106-T1-C	0.0445632798574	1
SRS015996.3439-T1-C	0.0139534883721	1
SRS011132.212-T1-C	0.0135231316726	1
SRS015996.8053-T1-C	0.106129303107	1
SRS015996.10161-T1-C	0.0181818181818	1
SRS019597.1377-T1-C	0.0367266513754	2
SRS015996.15550-T1-C	0.0632911392406	1
SRS019597.2083-T1-C	0.0646517739816	1
SRS015996.19918-T1-C	0.041647940075	1
SRS015996.10814-T1-C	0.0357142857142	1
SRS015996.3858-T1-C	0.0442446043166	1
SRS015996.5611-T1-C	0.130921052632	1
SRS015996.2022-T1-C	0.158088235294	1
SRS015996.15859-T1-C	0.027951807229	1
SRS015996.10478-T1-C	0.0157407407407	1
SRS011132.217-T1-C	0.0529094449708	2
SRS015996.7282-T1-C	0.094967978042	1
SRS015996.9002-T1-C	0.0598324297684	1
SRS015996.16843-T1-C	0.127125506073	1
SRS015996.330-T1-C	0.0475816993464	1
SRS015996.10644-T1-C	0.0381818181818	1
SRS015996.3608-T1-C	0.0198757763975	1
SRS015996.14908-T1-C	0.265992288608	1
SRS015996.13564-T1-C	0.0770764119602	1
SRS015996.13704-T1-C	0.035294117647	1
SRS015996.18591-T1-C	0.229139072848	1
SRS015996.4187-T1-C	0.107389162562	1
SRS015996.1993-T1-C	0.0387096774194	1
SRS015996.12957-T1-C	0.0576512455516	1
SRS015996.18999-T1-C	0.0638792102206	1
SRS015996.1929-T1-C	0.0443548387096	1
SRS015996.11878-T1-C	0.0310756972112	1
SRS019597.770-T1-C	0.0391696142834	1
SRS015996.9697-T1-C	0.126	1
SRS015996.6309-T1-C	0.0280193236714	1
SRS019597.1686-T1-C	0.0157232704403	1
SRS015996.16250-T1-C	0.0208616780046	1
SRS015996.13085-T1-C	0.0456140350878	1
SRS015996.7841-T1-C	0.0344481605352	1
SRS015996.14834-T1-C	0.054189944134	1
SRS015996.18069-T1-C	0.15641970577	1
SRS015996.18975-T1-C	0.047485380117	1
